# APPORTIONMENT DATA PROVIDED BY U.S. CENSUS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE_OR_REGION,1910_REPS,1920_REPS,1930_REPS,1940_REPS,1950_REPS,1960_REPS,1970_REPS,1980_REPS,1990_REPS,2000_REPS,2010_REPS,1910_PEOPLE_PER_REP,1920_PEOPLE_PER_REP,1930_PEOPLE_PER_REP,1940_PEOPLE_PER_REP,1950_PEOPLE_PER_REP,1960_PEOPLE_PER_REP,1970_PEOPLE_PER_REP,1980_PEOPLE_PER_REP,1990_PEOPLE_PER_REP,2000_PEOPLE_PER_REP,2010_PEOPLE_PER_REP,1910_SEAT_CHANGE,1920_SEAT_CHANGE,1930_SEAT_CHANGE,1940_SEAT_CHANGE,1950_SEAT_CHANGE,1960_SEAT_CHANGE,1970_SEAT_CHANGE,1980_SEAT_CHANGE,1990_SEAT_CHANGE,2000_SEAT_CHANGE,2010_SEAT_CHANGE
United States,,,,,,,,,,,,210328,0,280675,301164,344587,410481,469088,519235,572466,646952,710767,47,0,27,9,14,21,11,17,19,12,12
Alabama,10,10,9,9,9,8,7,7,7,7,7,213809,0,294027,314773,340194,408343,496555,555723,580373,637304,686140,1,0,-1,0,0,-1,-1,0,0,0,0
Alaska,,,,,,1,1,1,1,1,1,,,,,,226167,304067,400481,551947,628933,721523,,,,,,1,0,0,0,0,0
Arizona,,,1,2,2,3,4,5,6,8,9,,,389375,249631,374794,434054,446905,543573,612998,642585,712522,,,1,1,0,1,1,1,1,2,1
Arkansas,7,7,7,7,6,4,4,4,4,4,4,224921,0,264921,278484,318252,446568,485576,571378,590560,669933,731557,0,0,0,0,-1,-2,0,0,0,0,0
California,11,11,20,23,30,38,43,45,52,53,53,216051,0,283412,300321,352874,413611,467415,525968,573832,640204,704566,3,0,9,3,7,8,5,2,7,1,0
Colorado,4,4,4,4,4,4,5,6,6,7,7,199643,0,258712,280824,331272,438487,445354,481472,551319,615983,720704,1,0,0,0,0,0,1,1,0,1,0
Connecticut,5,5,6,6,6,6,6,6,6,5,5,222951,0,267816,284874,334547,422539,508449,517929,549278,681907,716326,0,0,1,0,0,0,0,0,0,-1,0
Delaware,1,1,1,1,1,1,1,1,1,1,1,202322,0,238380,266505,318085,446292,551928,595225,668696,785068,900877,0,0,0,0,0,0,0,0,0,0,0
Florida,4,4,5,6,8,12,15,19,23,25,27,188155,0,293638,316236,346413,412630,457047,512631,565364,641156,700029,1,0,1,1,2,4,3,4,4,2,2
Georgia,12,12,10,10,10,10,10,10,11,13,14,217427,0,290845,312372,344458,394312,462731,546427,591674,631306,694826,1,0,-2,0,0,0,0,0,1,2,1
Hawaii,,,,,,2,2,2,2,2,2,,,,,,316386,392451,482500,557637,608321,683431,,,,,,2,0,0,0,0,0
Idaho,2,2,2,2,2,2,2,2,2,2,2,161720,0,220768,262437,294319,333596,359961,471968,505993,648637,786750,1,0,0,0,0,0,0,0,0,0,0
Illinois,27,27,27,26,25,24,24,22,20,19,18,208837,0,282607,303740,348487,420048,466013,519021,573334,654686,714688,2,0,0,-1,-1,-1,0,-2,-2,-1,-1
Indiana,13,13,12,11,11,11,11,10,10,9,9,207760,0,269873,311618,357657,423863,475287,549018,556423,676754,722398,0,0,-1,-1,0,0,0,-1,0,-1,0
Iowa,11,11,9,8,8,7,6,6,5,5,4,202252,0,274491,317284,327634,393934,474487,485565,557485,586385,763447,0,0,-2,-1,0,-1,-1,0,-1,0,-1
Kansas,8,8,7,6,6,5,5,5,4,4,4,211369,0,268500,300171,317550,435722,453169,472642,621400,673456,715953,0,0,-1,-1,0,-1,0,0,-1,0,0
Kentucky,11,11,9,9,8,7,7,7,6,6,6,208173,0,290508,316181,368101,434022,463783,523062,616495,674905,725101,0,0,-2,0,-1,-1,0,0,-1,0,0
Louisiana,8,8,8,8,8,8,8,8,7,7,6,207049,0,262699,295485,335440,407128,459001,525497,605459,640039,758994,1,0,0,0,0,0,0,0,-1,0,-1
Maine,4,4,3,3,3,2,2,2,2,2,2,185593,0,265806,282409,304591,484633,503160,562330,616612,638866,666537,0,0,-1,0,0,-1,0,0,0,0,0
Maryland,6,6,6,6,7,8,8,8,8,8,8,215891,0,271920,303541,334714,387586,494212,527056,599828,663486,723741,0,0,0,0,1,1,0,0,0,0,0
Massachusetts,16,16,15,14,14,12,12,11,10,10,9,210401,0,283307,308337,335037,429048,477223,521549,602905,635557,728849,2,0,-1,-1,0,-2,0,-1,-1,0,-1
Michigan,13,13,17,17,18,19,19,18,16,15,14,216167,0,284827,309183,353987,411747,470379,514352,583049,663722,707973,1,0,4,0,1,1,0,-1,-2,-1,-1
Minnesota,10,10,9,9,9,8,8,8,8,8,8,207438,0,283509,310256,331387,426733,479147,509644,548379,615709,664360,1,0,-1,0,0,-1,0,0,0,0,0
Mississippi,8,8,7,7,6,5,5,5,5,4,4,224639,0,286879,311971,363152,435628,446770,504128,517289,713232,744560,0,0,-1,0,-1,-1,0,0,0,-1,0
Missouri,16,16,13,13,11,10,10,9,9,9,8,205833,0,279162,291128,359514,431981,471803,546383,570867,622918,751435,0,0,-3,0,-2,-1,0,-1,0,0,-1
Montana,2,2,2,2,2,2,2,2,1,1,1,183169,0,262365,279728,295512,337384,350787,393345,803655,905316,994416,1,0,0,0,0,0,0,0,-1,0,0
Nebraska,6,6,5,4,4,3,3,3,3,3,3,198702,0,275025,328959,331378,470443,498940,523335,528206,571790,610608,0,0,-1,-1,0,-1,0,0,0,0,0
Nevada,1,1,1,1,1,1,1,2,2,3,4,80293,0,86390,110247,160083,285278,492396,399592,603076,667344,677358,0,0,0,0,0,0,0,1,0,1,1
New Hampshire,2,2,2,2,2,2,2,2,2,2,2,215286,0,232646,245762,266621,303461,373142,460305,556958,619208,660723,0,0,0,0,0,0,0,0,0,0,0
New Jersey,12,12,14,14,14,15,15,14,13,13,12,211431,0,288666,297155,345381,404452,480536,526011,596049,648027,733958,2,0,2,0,0,1,0,-1,-1,0,-1
New Mexico,,,1,2,2,2,2,3,3,3,3,,,395982,265909,340594,475512,513332,433323,507260,607940,689091,,,1,1,0,0,0,1,0,0,0
New York,43,43,45,45,43,41,39,34,31,29,27,211836,0,279733,299536,344888,409324,470207,516391,582081,655344,719298,6,0,2,0,-2,-2,-2,-5,-3,-2,-2
North Carolina,10,10,11,12,12,11,11,11,12,13,13,220629,0,287934,297635,338494,414196,465930,534039,554803,620590,735829,0,0,1,1,0,-1,0,0,1,1,0
North Dakota,3,3,2,2,2,2,1,1,1,1,1,191468,0,336670,320968,309818,316223,624181,652695,641364,643756,675905,1,0,-1,0,0,0,-1,0,0,0,0
Ohio,22,22,24,23,23,24,23,21,19,18,16,216687,0,276943,300331,345506,404433,466530,514163,573017,631919,723031,1,0,2,-1,0,1,-1,-2,-2,-1,-2
Oklahoma,8,8,9,8,6,6,6,6,6,5,5,207144,0,264691,292054,372225,388047,430914,504211,526267,691764,752976,8,0,1,-1,-2,0,0,0,0,-1,0
Oregon,3,3,3,4,4,4,4,5,5,5,5,224255,0,316793,272421,380335,442172,527703,526533,570747,685709,769721,1,0,0,1,0,0,0,1,0,0,0
Pennsylvania,36,36,34,33,30,27,25,23,21,19,18,212920,0,283274,300005,349934,419236,475373,515945,567843,647404,707495,4,0,-2,-1,-3,-3,-2,-2,-2,-2,-1
Rhode Island,3,3,2,2,2,2,2,2,2,2,2,180870,0,343749,356673,395948,429744,478899,473577,502992,524831,527624,1,0,-1,0,0,0,0,0,0,0,0
South Carolina,7,7,6,6,6,6,6,6,6,6,7,216486,0,289793,316634,352838,397099,436220,519868,584285,670844,663711,0,0,-1,0,0,0,0,0,0,0,1
South Dakota,3,3,2,2,2,2,2,1,1,1,1,191892,0,336503,321481,326370,340257,336624,690178,699999,756874,819761,1,0,-1,0,0,0,0,-1,0,0,0
Tennessee,10,10,9,10,9,9,8,9,9,9,9,218479,0,290722,291584,365746,396343,495133,510083,544071,633337,708381,0,0,-1,1,-1,0,-1,1,0,0,0
Texas,18,18,21,21,22,23,24,27,30,32,36,216475,0,277362,305468,350509,416508,470783,526977,568660,653250,701901,2,0,3,0,1,1,1,3,3,2,4
Utah,2,2,2,2,2,2,2,3,3,3,4,185932,0,252871,275155,344431,445314,533905,487012,575928,745571,692691,1,0,0,0,0,0,0,1,0,0,1
Vermont,2,2,1,1,1,1,1,1,1,1,1,177978,0,359611,359231,377747,389881,448327,511456,564964,609890,630337,0,0,-1,0,0,0,0,0,0,0,0
Virginia,10,10,9,9,10,10,10,10,11,11,11,206161,0,269092,297530,331868,396695,469074,534628,565143,645518,730703,0,0,-1,0,1,0,0,0,1,0,0
Washington,5,5,6,6,7,7,7,8,9,9,10,228027,0,258737,289365,339852,407602,491927,516270,543105,656520,675337,2,0,1,0,1,0,0,1,1,0,1
West Virginia,6,6,6,6,6,5,4,4,3,3,3,203520,0,288200,316996,334259,372084,440833,487411,600542,604359,619938,1,0,0,0,0,-1,-1,0,-1,0,0
Wisconsin,11,11,10,10,10,10,9,9,9,8,8,212078,0,293172,313759,343458,395178,494113,522815,545194,671401,712279,0,0,-1,0,0,0,-1,0,0,-1,0
Wyoming,1,1,1,1,1,1,1,1,1,1,1,144658,0,223630,250742,290529,330066,335719,470816,455975,495304,568300,0,0,0,0,0,0,0,0,0,0,0
